epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1484.31,0.47786,0.74154,0.47649,0.95035,0.61926,0.5884,0.58696,0.51074,0.57399,0.53072,0.52862,0.47209,0.8143,2.34852,1.36338,1.10471,0.000755,0.000755,0.000755
62,1509.56,0.46704,0.7304,0.46564,0.94299,0.59635,0.61134,0.58239,0.50066,0.556,0.56993,0.52591,0.45226,0.79579,2.3043,1.28706,1.06274,0.00074675,0.00074675,0.00074675
63,1534.71,0.46638,0.74149,0.46028,0.9418,0.58288,0.62666,0.60288,0.52072,0.54165,0.57733,0.54316,0.47614,0.775,2.29459,1.27104,1.05752,0.0007385,0.0007385,0.0007385
64,1559.35,0.45964,0.73267,0.45111,0.93885,0.59486,0.60101,0.58277,0.50277,0.54726,0.5683,0.51761,0.43608,0.80065,2.34527,1.28768,1.08012,0.00073025,0.00073025,0.00073025
65,1584.35,0.48157,0.71503,0.46398,0.95025,0.58363,0.60403,0.56744,0.48682,0.58395,0.55302,0.51207,0.42126,0.77527,2.31898,1.33802,1.06647,0.000722,0.000722,0.000722
66,1609.06,0.46898,0.73098,0.46279,0.93898,0.5982,0.61565,0.59966,0.50877,0.55926,0.57167,0.51306,0.43677,0.76777,2.36987,1.34729,1.12223,0.00071375,0.00071375,0.00071375
67,1633.88,0.45697,0.72434,0.44692,0.9422,0.5781,0.58691,0.5724,0.49534,0.52952,0.5492,0.50156,0.44946,0.74863,2.58041,1.43502,1.07699,0.0007055,0.0007055,0.0007055
68,1658.1,0.45628,0.71329,0.45065,0.94296,0.60135,0.5999,0.59179,0.51571,0.56679,0.56367,0.53008,0.45269,0.73706,2.23253,1.33078,1.03874,0.00069725,0.00069725,0.00069725
69,1681.95,0.45241,0.74054,0.45152,0.94612,0.59609,0.60246,0.56845,0.48966,0.57921,0.55783,0.52907,0.44984,0.82379,2.49644,1.36128,1.09573,0.000689,0.000689,0.000689
70,1705.12,0.45737,0.7191,0.46187,0.93265,0.63258,0.57667,0.5771,0.49956,0.61636,0.56003,0.54934,0.45337,0.74879,2.33484,1.26226,1.04457,0.00068075,0.00068075,0.00068075
71,1728.16,0.45249,0.71254,0.44454,0.93672,0.61003,0.59041,0.58048,0.51299,0.57463,0.58306,0.54307,0.46724,0.72631,2.30648,1.27186,1.03691,0.0006725,0.0006725,0.0006725
72,1751.2,0.44866,0.70567,0.4371,0.93373,0.59995,0.59107,0.57931,0.5046,0.57349,0.56103,0.52549,0.44519,0.74051,2.4504,1.26976,1.0265,0.00066425,0.00066425,0.00066425
73,1774.39,0.44605,0.70785,0.4334,0.94015,0.59521,0.59678,0.57268,0.50685,0.58382,0.5656,0.53741,0.46063,0.74442,2.34213,1.27424,1.00878,0.000656,0.000656,0.000656
74,1797.4,0.43488,0.70594,0.42416,0.9269,0.55203,0.64322,0.58034,0.51334,0.54708,0.56905,0.51818,0.45588,0.76477,2.69401,1.26721,1.08233,0.00064775,0.00064775,0.00064775
