epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,2304.61,0.45509,0.70506,0.45986,0.93751,0.57793,0.59843,0.54707,0.47615,0.54456,0.55919,0.49153,0.41056,0.73535,2.58877,1.43022,1.04864,0.000775625,0.000775625,0.000775625
117,2325.36,0.44917,0.71347,0.44501,0.9303,0.61523,0.5637,0.575,0.49768,0.58076,0.52507,0.51783,0.4271,0.73487,2.54189,1.36156,1.03063,0.0007715,0.0007715,0.0007715
118,2346.61,0.43925,0.71077,0.43747,0.93081,0.60557,0.57936,0.55673,0.47809,0.57247,0.54741,0.49503,0.43114,0.75588,2.7237,1.37621,1.09431,0.000767375,0.000767375,0.000767375
119,2367.67,0.4428,0.72169,0.44399,0.92954,0.59211,0.61512,0.56241,0.48413,0.55577,0.57749,0.50899,0.42832,0.78349,2.75021,1.34682,1.12885,0.00076325,0.00076325,0.00076325
120,2388.81,0.44069,0.7029,0.44102,0.93142,0.60631,0.588,0.5807,0.50048,0.54911,0.55692,0.52013,0.45154,0.71872,2.89572,1.3397,1.04921,0.000759125,0.000759125,0.000759125
121,2410.07,0.46097,0.70867,0.44186,0.92759,0.62297,0.57431,0.6045,0.52497,0.58062,0.53591,0.55144,0.45482,0.7337,2.52797,1.22028,1.06935,0.000755,0.000755,0.000755
122,2431.23,0.44203,0.70894,0.43403,0.927,0.58915,0.60261,0.59781,0.50539,0.58828,0.52731,0.5333,0.43823,0.75821,2.39282,1.26192,1.10674,0.000750875,0.000750875,0.000750875
123,2451.01,0.45047,0.71678,0.45253,0.93471,0.56649,0.62179,0.56902,0.49232,0.53278,0.58646,0.51122,0.43025,0.79986,2.54121,1.44146,1.14747,0.00074675,0.00074675,0.00074675
124,2468.47,0.44515,0.73418,0.44206,0.92843,0.60166,0.5896,0.56191,0.47579,0.56215,0.57435,0.5129,0.43439,0.77887,2.76056,1.39341,1.13717,0.000742625,0.000742625,0.000742625
125,2485.54,0.46166,0.69956,0.45431,0.93669,0.59553,0.58123,0.56414,0.48556,0.56264,0.54912,0.51748,0.42781,0.75693,2.60026,1.37504,1.08179,0.0007385,0.0007385,0.0007385
126,2502.91,0.45627,0.70737,0.44288,0.93896,0.58671,0.59004,0.56913,0.4885,0.55868,0.56567,0.50854,0.41724,0.79001,2.90314,1.35716,1.15067,0.000734375,0.000734375,0.000734375
127,2519.99,0.44031,0.70062,0.43353,0.92355,0.59293,0.59266,0.57041,0.48756,0.54539,0.5604,0.50595,0.41856,0.72869,2.8857,1.36312,1.09435,0.00073025,0.00073025,0.00073025
