epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3290.13,0.45959,0.74834,0.45674,0.94932,0.61066,0.61354,0.58588,0.49946,0.58091,0.57192,0.51942,0.44566,0.77786,2.10776,1.18599,1.13827,0.000940625,0.000940625,0.000940625
77,3333.41,0.4333,0.72358,0.43913,0.93758,0.61233,0.57691,0.59262,0.51312,0.58755,0.55605,0.53659,0.44906,0.76924,2.2271,1.29283,1.12437,0.0009365,0.0009365,0.0009365
78,3377.29,0.43394,0.73389,0.42577,0.9357,0.59472,0.62099,0.59517,0.51865,0.58587,0.61112,0.55244,0.46982,0.71139,2.06678,1.2351,1.06466,0.000932375,0.000932375,0.000932375
79,3420.86,0.43113,0.71078,0.4275,0.93427,0.62357,0.60069,0.59331,0.51865,0.60789,0.58279,0.55673,0.46251,0.75181,2.17789,1.19009,1.08172,0.00092825,0.00092825,0.00092825
80,3464.28,0.43791,0.71717,0.44214,0.94255,0.60232,0.61544,0.60608,0.52039,0.56765,0.5678,0.52702,0.45434,0.78231,2.51053,1.29272,1.13942,0.000924125,0.000924125,0.000924125
81,3508.08,0.44216,0.72629,0.43794,0.946,0.59309,0.60401,0.59741,0.50335,0.56274,0.56628,0.52676,0.4442,0.71762,2.48453,1.22352,1.06729,0.00092,0.00092,0.00092
82,3551.32,0.43963,0.72299,0.43324,0.93165,0.6013,0.59472,0.59847,0.51108,0.57625,0.5683,0.54435,0.4517,0.70394,2.4564,1.30062,1.04948,0.000915875,0.000915875,0.000915875
83,3594.94,0.42992,0.73076,0.42667,0.93928,0.61023,0.59955,0.60366,0.52381,0.57266,0.56053,0.54326,0.4646,0.725,2.58952,1.30988,1.09459,0.00091175,0.00091175,0.00091175
84,3636.95,0.41518,0.68234,0.40653,0.93395,0.62245,0.57306,0.59583,0.51176,0.59486,0.54842,0.53749,0.44647,0.73652,2.44293,1.25065,1.11803,0.000907625,0.000907625,0.000907625
85,3679,0.4181,0.67939,0.41037,0.9295,0.60029,0.61349,0.61217,0.52572,0.5821,0.5892,0.54802,0.46153,0.69931,2.60107,1.2836,1.07829,0.0009035,0.0009035,0.0009035
86,3720.36,0.41477,0.72036,0.41013,0.93562,0.59317,0.59643,0.59957,0.51626,0.57155,0.53893,0.52646,0.4545,0.80117,2.62987,1.31341,1.12126,0.000899375,0.000899375,0.000899375
87,3761.94,0.42045,0.6829,0.41674,0.92437,0.58658,0.63984,0.60741,0.50805,0.55176,0.58338,0.52448,0.44456,0.76932,2.39081,1.20984,1.12855,0.00089525,0.00089525,0.00089525
88,3803.65,0.4162,0.65964,0.41654,0.93177,0.60841,0.63588,0.61699,0.53242,0.57468,0.59653,0.55052,0.46284,0.76438,2.37958,1.16322,1.10594,0.000891125,0.000891125,0.000891125
