epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4794.08,0.6125,1.04815,0.68706,1.06557,0.58065,0.57659,0.59318,0.49397,0.57796,0.51407,0.5503,0.43682,0.74342,2.11945,1.24327,1.03284,0.00102312,0.00102312,0.00102312
57,4871.4,0.59591,1.08138,0.68727,1.05198,0.59737,0.57441,0.60631,0.52382,0.57918,0.54955,0.55622,0.44727,0.68216,1.96883,1.13539,0.98114,0.001019,0.001019,0.001019
58,4946.74,0.6035,1.09084,0.68697,1.04911,0.60814,0.57496,0.59827,0.51922,0.57586,0.54335,0.54865,0.4484,0.65171,2.03851,1.16018,0.93036,0.00101488,0.00101488,0.00101488
59,5023.45,0.6076,1.09024,0.67051,1.05887,0.63143,0.5482,0.59777,0.50237,0.6,0.51864,0.5588,0.45124,0.70453,1.81836,1.23812,1.00906,0.00101075,0.00101075,0.00101075
60,5099.12,0.58294,1.09115,0.64703,1.04227,0.59041,0.54008,0.59386,0.4868,0.5623,0.50231,0.53082,0.42947,0.73185,1.96175,1.24462,1.01473,0.00100663,0.00100663,0.00100663
61,5176.37,0.58413,1.03687,0.64062,1.03563,0.60366,0.56903,0.60063,0.49753,0.58366,0.52885,0.54098,0.44104,0.79144,1.87461,1.33237,1.08913,0.0010025,0.0010025,0.0010025
62,5251.77,0.58517,1.02534,0.63468,1.03588,0.62565,0.56208,0.60573,0.50529,0.59435,0.5336,0.55883,0.45008,0.73351,2.04827,1.15696,1.02374,0.000998375,0.000998375,0.000998375
63,5327.99,0.5815,0.99325,0.62495,1.04306,0.66095,0.539,0.60075,0.51754,0.59017,0.53513,0.56017,0.46206,0.65976,2.00729,1.20385,0.9858,0.00099425,0.00099425,0.00099425
64,5404.25,0.5819,1.01545,0.63351,1.04079,0.62921,0.5396,0.57659,0.49015,0.58361,0.53349,0.54127,0.42583,0.69971,2.09299,1.26158,1.02218,0.000990125,0.000990125,0.000990125
65,5484.59,0.56526,0.9889,0.61197,1.03056,0.67548,0.54795,0.61352,0.51234,0.63204,0.51431,0.56011,0.44922,0.72756,2.20537,1.2716,1.02333,0.000986,0.000986,0.000986
66,5570.56,0.58885,0.99522,0.63528,1.03455,0.65658,0.5394,0.60574,0.52418,0.63015,0.51138,0.56514,0.455,0.67868,1.93839,1.13259,0.95644,0.000981875,0.000981875,0.000981875
67,5654.23,0.58189,1.00324,0.63772,1.04209,0.65086,0.53897,0.58403,0.49596,0.61638,0.50892,0.54651,0.46172,0.73903,1.98659,1.1732,1.053,0.00097775,0.00097775,0.00097775
68,5738,0.58143,0.99382,0.65028,1.03978,0.59263,0.58257,0.59683,0.51246,0.57492,0.56743,0.55897,0.44144,0.69535,2.18849,1.08232,0.98126,0.000973625,0.000973625,0.000973625
69,5830.95,0.56832,0.98369,0.6475,1.0309,0.60646,0.56441,0.60174,0.51904,0.59623,0.56547,0.57839,0.4668,0.70338,1.72678,1.31764,1.03179,0.0009695,0.0009695,0.0009695
70,5917.98,0.57016,0.97321,0.63051,1.02577,0.61994,0.59788,0.6145,0.51871,0.5829,0.5846,0.56619,0.46037,0.71538,2.13447,1.05359,0.99296,0.000965375,0.000965375,0.000965375
71,6000.11,0.55171,0.95837,0.61064,1.02924,0.62027,0.58066,0.60303,0.52929,0.58795,0.55012,0.56815,0.46901,0.63195,2.17664,0.97645,0.92152,0.00096125,0.00096125,0.00096125
72,6083.31,0.5795,0.98071,0.62511,1.03716,0.62022,0.55622,0.57448,0.49637,0.60067,0.51382,0.52528,0.43572,0.65829,2.00867,1.2978,0.96335,0.000957125,0.000957125,0.000957125
73,6165.33,0.54728,0.95988,0.62327,1.02684,0.63496,0.55796,0.59706,0.51764,0.61114,0.53429,0.56107,0.46086,0.63036,1.92217,1.1302,0.92421,0.000953,0.000953,0.000953
74,6248.51,0.53795,0.97087,0.59795,1.0138,0.6087,0.5287,0.57675,0.4918,0.58167,0.49458,0.53925,0.43427,0.71958,2.22539,1.29062,0.99933,0.000948875,0.000948875,0.000948875
75,6330.88,0.567,0.98896,0.6183,1.03628,0.58246,0.56466,0.59374,0.512,0.56479,0.53921,0.55698,0.44076,0.69641,2.3084,1.22457,0.98498,0.00094475,0.00094475,0.00094475
76,6415.35,0.56203,0.95621,0.61519,1.02712,0.61331,0.56054,0.5912,0.50391,0.57801,0.5541,0.55997,0.44318,0.69698,2.01443,1.18137,0.96122,0.000940625,0.000940625,0.000940625
77,6497.96,0.54927,0.93678,0.60221,1.02006,0.6529,0.53484,0.59818,0.49656,0.59526,0.51943,0.54748,0.44722,0.67768,2.05947,1.37406,0.95808,0.0009365,0.0009365,0.0009365
78,6580.03,0.5544,0.95844,0.59802,1.02897,0.60038,0.5651,0.58874,0.50519,0.57924,0.52271,0.54231,0.43526,0.65307,1.9751,1.17958,0.92295,0.000932375,0.000932375,0.000932375
79,6660.42,0.54444,0.95423,0.59308,1.01322,0.6121,0.57555,0.59436,0.51128,0.59312,0.55017,0.55674,0.44584,0.63959,2.18192,1.14648,0.94251,0.00092825,0.00092825,0.00092825
80,6743.44,0.54789,0.92794,0.58898,1.02306,0.63096,0.55299,0.59311,0.5196,0.57998,0.51388,0.53644,0.4449,0.63254,1.97525,1.21023,0.91417,0.000924125,0.000924125,0.000924125
81,6825.39,0.54201,0.98883,0.58364,1.01507,0.61384,0.58973,0.60492,0.5028,0.58288,0.55643,0.55413,0.44813,0.73967,2.14987,1.32208,1.06121,0.00092,0.00092,0.00092
82,6903.56,0.52916,0.96896,0.57652,1.00762,0.62602,0.60296,0.61606,0.509,0.59045,0.53946,0.54873,0.44574,0.71584,2.11224,1.30073,1.03561,0.000915875,0.000915875,0.000915875
83,6980.26,0.54775,0.94121,0.60663,1.02211,0.61565,0.57868,0.58732,0.5065,0.59613,0.5558,0.55859,0.45243,0.67445,2.21327,1.2721,0.94739,0.00091175,0.00091175,0.00091175
